Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js  	 bug  	 4726  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-codemirror/moodle-atto_html-codemirror-debug.js  	 bug  	 6161  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-codemirror/moodle-atto_html-codemirror.js  	 bug  	 6161  	javascript:S2259
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/src/beautify/js/beautify-css.js  	 bug  	 203  	javascript:S2259
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/src/beautify/js/beautify-html.js  	 bug  	 278  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/src/beautify/js/beautify-html.js  	 bug  	 833  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/src/beautify/js/beautify.js  	 bug  	 480  	javascript:S2583
Andrew_Nicols  	 /moodle/lib/editor/atto/plugins/html/yui/src/codemirror/js/codemirror.js  	 bug  	 6157  	javascript:S2583
Frédéric_Massart  	 /moodle/competency/tests/privacy_test.php  	 bug  	 2598  	javascript:S2259
Frédéric_Massart  	 /moodle/badges/tests/privacy_test.php  	 bug  	 784  	php:S836
Marina_Glancy  	 /moodle/admin/tool/policy/classes/output/acceptances.php  	 bug  	 89  	php:S1656
Marina_Glancy  	 /moodle/admin/tool/policy/classes/output/acceptances.php  	 bug  	 90  	php:S1656
Andrew_Nicols  	 /moodle/calendar/lib.php  	 bug  	 2735  	php:S1656
Andrew_Nicols  	 /moodle/calendar/lib.php  	 bug  	 2737  	php:S1656
Damyon_Wiese  	 /moodle/lib/requirejs/moodle-config.js  	 bug  	 20  	php:S1656
Marina_Glancy  	 /moodle/lib/horde/framework/Horde/Imap/Client/DateTime.php  	 bug  	 42  	javascript:DuplicatePropertyName
Marina_Glancy  	 /moodle/lib/horde/framework/Horde/Imap/Client/DateTime.php  	 bug  	 51  	php:S1848
Marina_Glancy  	 /moodle/lib/horde/framework/Horde/Imap/Client/DateTime.php  	 bug  	 64  	php:S1848
